Variable Name,Data Type,Non-Null Count,Unique Values,Sample Value
Country Name,object,266,266,Aruba
Country Code,object,266,266,ABW
Indicator Name,object,266,1,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)"
Indicator Code,object,266,1,SL.EMP.TOTL.SP.ZS
1960,float64,0,0,N/A
1961,float64,0,0,N/A
1962,float64,0,0,N/A
1963,float64,0,0,N/A
1964,float64,0,0,N/A
1965,float64,0,0,N/A
1966,float64,0,0,N/A
1967,float64,0,0,N/A
1968,float64,0,0,N/A
1969,float64,0,0,N/A
1970,float64,0,0,N/A
1971,float64,0,0,N/A
1972,float64,0,0,N/A
1973,float64,0,0,N/A
1974,float64,0,0,N/A
1975,float64,0,0,N/A
1976,float64,0,0,N/A
1977,float64,0,0,N/A
1978,float64,0,0,N/A
1979,float64,0,0,N/A
1980,float64,0,0,N/A
1981,float64,0,0,N/A
1982,float64,0,0,N/A
1983,float64,0,0,N/A
1984,float64,0,0,N/A
1985,float64,0,0,N/A
1986,float64,0,0,N/A
1987,float64,0,0,N/A
1988,float64,0,0,N/A
1989,float64,0,0,N/A
1990,float64,0,0,N/A
1991,float64,235,232,66.0415298571244
1992,float64,235,233,65.974562777685
1993,float64,235,232,65.9343727918661
1994,float64,235,232,66.0293206044581
1995,float64,235,232,66.3024434603876
1996,float64,235,233,66.3837772545795
1997,float64,235,232,66.3815077551515
1998,float64,235,233,66.3037124798515
1999,float64,235,232,66.2204165762021
2000,float64,235,232,66.2298215329671
2001,float64,235,230,66.3169290822614
2002,float64,235,232,66.3864649042867
2003,float64,235,230,66.4630820118459
2004,float64,235,232,66.6434019433694
2005,float64,235,232,66.8252350667169
2006,float64,235,232,66.7529984829743
2007,float64,235,233,66.6225637614573
2008,float64,235,232,66.4630605874934
2009,float64,235,231,66.0274212661783
2010,float64,235,232,65.1159323828094
2011,float64,235,230,65.2950542296964
2012,float64,235,231,65.2414842292149
2013,float64,235,230,65.2924008594864
2014,float64,235,232,65.2063093581412
2015,float64,235,232,65.2226744895085
2016,float64,235,233,65.0638339181352
2017,float64,235,232,64.9699226624547
2018,float64,235,233,64.8454697206443
2019,float64,235,231,64.6493081143125
2020,float64,235,231,63.5607739506262
2021,float64,235,231,63.6125633843166
2022,float64,234,231,64.3029281963663
2023,float64,233,228,64.4369662191598
Unnamed: 68,float64,0,0,N/A
